did,mid,medicine
63,63,"M-Nonsteroidal anti-Inflammatory drug. T-Bone surgery, Bone grafting, and Joint replacement"
64,64,M-Sodium Bicarbonate
65,65,"M-Bronchodilator, Steroid, and Anti-Inflammatory. T-Oxygen therapy"
66,66,"M-Steroid, Antihistamine, and Topical antiseptic"
67,67,"M-Beta blocker, Calcium channel blocker, Antiarrhythmic agent, and Blood Thinners. T-Cardioversion and Catheter ablation"
68,68,T-Atropine and Transcutaneous/Transvenous Pacing
69,69,M-Antibiotics
70,70,M-Steroids to suppress immune system
71,71,M-Steroids to suppress immune system
72,72,T-Consult Doctor
73,73,T-Apply ice packs
74,74,"M-Antibiotics(Beta Lactums, Quinolones, Macrolides)"
75,75,M-Antibiotics
76,76,"M-Ciprofloxacin, metronidazole"
77,77,M-Antifungal and Dietary supplement
78,78,"M-Nonsteroidal anti-Inflammatory drug, Analgesic, and Steroid"
79,79,T-Consult Doctor
80,80,"M-Antifungal, Proton-Pump inhibitor, Antacid, and Steroid"
81,81,M-Nonsteroidal anti-Inflammatory drug. T-Incision and drainage
82,82,T-Rest. If headache persists then Consult doctor
83,83,T-Consult Doctor
84,84,"M-calcium, glucagon, adrenergic drugs, and amrinone"
85,85,"M-Antacid, Anti-Inflammatory, and Steroid"
86,86,T-Wash with soap and water. Apply a cold pack
87,87,M-Steroid and Antiviral drug. T-Physiotherapy
88,88,T-Epley maneuver
89,89,M-Urinary retention medication
90,90,T-Counselling and Therapy
91,91,T-Admit to Detox Center
92,92,T-Admit to Detox Center
93,93,"M-Anticonvulsant, Antipsychotic, and Selective Serotonin Reuptake Inhibitor (SSRI). T-Support group, Cognitive behavioral therapy, Psychoeducation, Family therapy, and Psychotherapy"
94,94,"M-Analgesic, Nonsteroidal anti-Inflammatory drug, and Antihistamine"
95,95,T-Consult Doctor
96,96,T-transurethral cystolitholapaxy
97,97,T-Consult Doctor
98,98,M-Antibiotics
99,99,T-Blood Transfusion
101,101,M-Selective Serotonin Reuptake Inhibitor (SSRI). T-Selective Serotonin Reuptake Inhibitor (SSRI)
102,102,T-Consult Doctor
103,103,M-Nasogastric intubation.
105,105,"M-atropine, epinephrine, and dopamine"
106,106,M-Antibiotics(ceftriaxone or cefotaxime plus metronidazole)
107,107,T-Consult Doctor
108,108,M-Antibiotics
109,109,T-Consult Doctor
110,110,T-Consult Doctor
111,111,T-Breast Surgey
112,112,"M-Bronchodilator, Steroid, and Anti-Inflammatory. T-Oxygen therapy"
113,113,"M-Bronchodilator, Steroid, Penicillin antibiotic, and Antibiotics. T-Oxygen therapy"
114,114,"M-Analgesic, Nonsteroidal anti-Inflammatory drug, and Bronchodilator. T-Nasal suctioning, Oxygen therapy, Can be self-healing, IV fluids, and Sodium chloride"
115,115,"M-Nonsteroidal anti-Inflammatory drug, Analgesic, Narcotic, and Cough medicine"
116,116,T-Clean with water and soap and apply antibiotic cream
117,117,"M-Selective Serotonin Reuptake Inhibitor (SSRI). TSupport group, Cognitive behavioral therapy, Cognitive therapy, Dialectical behavior therapy, Intervention, Psychoeducation."
118,118,T-Consult Doctor
119,119,"M- Saliva replacement products. Specific oral rinses or lidocaine. Capsaicin, a pain reliever that comes from chili peppers"
120,120,M-Topical antiseptic and Antibiotics
121,121,M-Nonsteroidal anti-Inflammatory drug.
122,122,T-Counselling and Therapy
123,123,"M- Diuretics, beta-blockers, ACE inhibitors, calcium channel blockers and vasodilators"
124,124,M-Anti-Inflammatory
125,125,M-Antibiotics(Azithromycin)
126,126,T-Consult Doctor(Chemottherapy)
127,127,"M-Clotrimazole, Miconazole, Tioconazole, Ketoconazole, Nystatin"
128,128,T-Breath pure Oxygen Immediately
129,129,"M-Antiarrhythmic agent, Calcium channel blocker, Beta blocker, and Dietary supplement"
130,130,"M-Blood Thinners, Beta blocker, ACE inhibitor, Diuretic, Antihypertensive drug, Statin, and Antiarrhythmic agent. T-Cardiac catheterization and Revascularization"
131,131,T-Consult Doctor
132,132,T-Stereotactic radiosurgery
133,133,M-Steroid and Nonsteroidal anti-Inflammatory drug. T-Carpal tunnel surgery
134,134,T-Consult Doctor for immediate surgery
135,135,T-endovascular methods
136,136,T-Antibiotic Therapy
137,137,T-Consult Doctor
138,138,T-Dental filling
139,139,M-Dietary supplement and Vitamin
140,140,M-Antibiotics and Penicillin antibiotic
142,142,T-Consult Doctor immediately
143,143,T-Supportive Therapy
144,144,T-Consult Doctor
145,145,"T-Occupational Therapy, Stretching, and Physical Therapy. M- Muscle Relaxant and Sedative"
146,146,"M-Alteplase, Blood Thinners, Statin, Antihypertensive drug, and ACE inhibitor. T-Speech therapy, Rehabilitation, Occupational Therapy, Stroke rehabilitation, and Physical Therapy"
147,147,T-Consult Doctor
148,148,T-Use Warm Water to Soften the wax and clean
149,149,T-Consult Doctor(Chemottherapy)
150,150,T-Consult Doctor
151,151,T-Consult Doctor
152,152,T-Wear Cervical Brace
153,153,"M-Analgesic, Nonsteroidal anti-Inflammatory drug, Muscle Relaxant, Steroid, Narcotic, and Anaesthetic"
154,154,M-azithromycin or doxycycline
155,155,M-Anti-Parasite
158,158,T-Consult Doctor
159,159,T-Abuse-focused cognitive behavioral therapy
160,160,M-Antibiotics
161,161,Consult Doctor
162,162,T-nonemergent endoscopic retrograde cholangiopancreatography
163,163,Antibiotics and Penicillin antibiotic
164,164,Cholecystectomy and Laparoscopic surgery M-Cholesterol medication
165,165,Cholecystectomy and Laparoscopic surgery M-Cholesterol medication
166,166,Antibiotics
167,167,Consult Doctor
168,168,"Antidepressant, Support Groups"
169,169,Consult Doctor
170,170,Bronchodilator and Steroid
171,171,"Nerve pain medication, Analgesic, and Narcotic"
172,172,"Diuretic, Ammonia reducer, Beta blocker, Antibiotics, and Antiviral drug"
173,173,"Triptan, Calcium channel blocker, Steroid, and Nerve pain medication"
174,174,"Stenting, Cardiac catheterization, and Angioplasty"
175,175,Counselling and Support Group
176,176," diazepam, lorazepam"
178,178,"Nonsteroidal anti-Inflammatory drug, Antibiotics, Anti-Inflammatory, Immunosuppressive drug, Steroid, Analgesic, and Dietary supplement"
179,179,"Antibiotics, Penicillin antibiotic, and Dietary supplement"
180,180,Consult Doctor for chemotherapy
181,181,"Nonsteroidal anti-Inflammatory drug, Analgesic, Antihistamine, Cough medicine, and Decongestant"
182,182,Painkillers
183,183,Fasciotomy
184,184,Analgesic
185,185,"Diuretic, Beta blocker, ACE inhibitor, Antihypertensive drug, Dietary supplement, Blood pressure support, Vasodilator, and Heart Medication"
186,186,Antibiotics and Steroid
187,187,Laxatives
188,188,"Steroid, Antibiotics, Topical antiseptic, Antihistamine, Anaesthetic, and Antifungal"
189,189,Self Care
190,190,Heals on its own in 14 to 28 days
191,191,epinephrine combined with an anesthetic
192,192,Antibiotic Ointment
193,193,Remove object with a cotton cloth
194,194,Consult Doctor
195,195,"Analgesic, Nonsteroidal anti-Inflammatory drug, and Steroid"
196,196,Counselling and Support Group
197,197,"Nonsteroidal anti-Inflammatory drug, Anti-Inflammatory, Steroid, Immunosuppressive drug, Vitamin, and Antibiotics"
198,198,Anti-parasitic drugs
199,199,Removal of steroid producing tumor and Transsphenoidal surgery
200,200,Anthelmintics
201,201,Kegel exercise and Physical Therapy
202,202,Pyrimethamine
203,203,Nonsteroidal anti-Inflammatory drug and Steroid
204,204,Blood Thinners
205,205,Drink a rehydration drink
206,206,Sedative and Vitamin
207,207,Cognition-enhancing medication
208,208,Analgesic
209,209,"Antibiotics, Penicillin antibiotic, Nonsteroidal anti-Inflammatory drug, and Analgesic"
210,210,No treatment or medication
211,211,Visit a dentist
212,212,"Selective Serotonin Reuptake Inhibitor (SSRI), Antidepressant, and Anxiolytic"
213,213,"Controlling blood sugar through diet, oral medication or insulin"
214,214,"Anti-Diabetic medication, Blood Thinners, Statin, and Insulin"
215,215,Insulin and Dietary supplement
216,216,Symptoms improve over time
217,217,Emergency Medical assistance
218,218,Antibiotics and Penicillin antibiotic
219,219,Consult Doctor
220,220,"Procedural sedation and analgesia, Reduction, and Traction"
221,221,beta blocker
222,222,Blood transfusion
223,223,Counselling
224,224,Consult Doctor
225,225,Counselling and Support Group
226,226,Seek medical assistance immediately
227,227,Consult Doctor
228,228,heals on its own
229,229,"Analgesic, Nonsteroidal anti-Inflammatory drug, Topical antiseptic, Antibiotics, and Dietary supplement"
230,230,high-dose estrogen therapy
231,231,Drink a lot of water
232,232,Expedient wound care and closure
233,233,Apply a warm cloth or warm water bottle to the affected ear
234,234,Dietary supplement
235,235,Counselling
236,236,Laparoscopic surgery
237,237,antivenoms
238,238,Thoracastomy
239,239,Antiviral drug and Anticonvulsant
240,240,Consult Doctor for chemotherapy
241,241,Laparoscopic surgery and Electrosurgery
242,242,"ampicillin, gentamicin, and metronidazole"
244,244,Consult Doctor
245,245,"metronidazole, tinidazole, nitazoxanide, dehydroemetine or chloroquine"
246,246,Emergency Medical assistance to raise body temperature
247,247,Emergency Medical assistance to lower body temperature
248,248,antibiotics and drainage
249,249,Antibiotics
250,250,Antibiotic treatment
251,251,Craniotomy
252,252,Antibiotics and Penicillin antibiotic
253,253,Consult Doctor
255,255,Oral Antibiotics 
256,256,"Calcium channel blocker, Heart Medication, and Vasodilator"
257,257,chemotherapy
258,258,Consult Doctor
259,259,Consult Doctor
260,260,Tube Thoracostamy
261,261,nitrates or calcium channel blockers to relax the muscles in the esophagus.
262,262,heals on its own
263,263,"Beta blocker, Synthetic hormones, Antibiotics, and Blood transfusion"
264,264,Esophageal dilation
265,265,"Antifungal, Proton-Pump inhibitor, Antacid, and Steroid"
266,266,"calcium channel blockers,"
267,267,exercise
268,268,Counselling
269,269,consult doctor
270,270,Removal of foreign body
271,271,Surgical repair of lid lacerations
272,272,Rest
273,273,consult doctor
274,274,consult doctor
275,275,Apply something cold to reduce puffiness
276,276,Stretching
277,277,Consult Doctor
278,278,"advised to avoid exposure to cold temperatures. Bed rest, warmth and corticosteroids can be used to treat an acute attack"
279,279,High flow oxygen and Mechanical ventilation
280,280,Oral diazepam can reduce the risk of subsequent febrile seizures
281,281,rectally diazepam
282,282,Laxative
283,283,Anti diarrheal drugs like loperamide and diphenoxylate and atropine sulfate
284,284,Consult Doctor
285,285,Laparoscopic surgery
286,286,Psychoactive drugs
287,287,"paracetamol, acetaminophen, ibuprofen"
288,288,Consult a doctor for diagnosis of the cause
289,289,Nonsteroidal anti-Inflammatory drug and Analgesic
290,290,"Birth control, Hormone, and Sex hormone suppression"
291,291,"Selective Serotonin Reuptake Inhibitor (SSRI), Analgesic, Nonsteroidal anti-Inflammatory drug, Nerve pain medication, and Muscle Relaxant"
292,292,Anti-Parasite and Antibiotics
293,293,Heals on its own
294,294,"Treatment consists of incision and drainage, warm-water soaks and, sometimes, oral antibiotics"
295,295,"rest, ice, compression, and elevation"
296,296,heals on its own
297,297,"rest, ice, compression, and elevation"
298,298,"Remove the foreign body using irrigation, a sterile needle, or a foreign body removal instrument"
300,300,"Pull out the lower eyelid or press down on the skin below the eyelid to see underneath it. If the object is visible, try tapping it with a damp cotton swab."
301,301,Consult Doctor
302,302,Surgery to connect broken bones (Internal fixation) and Surgery to stabilise broken bones (External fixation)
303,303,Cognitive behavioral therapy
304,304,Antifungal
305,305,Antibiotics
306,306,"Antibiotics, Proton-Pump inhibitor, Penicillin antibiotic, Diarrhoea Medication, and Antacid"
307,307,"Antacid, Proton-Pump inhibitor, Penicillin antibiotic, Antibiotics, and Diarrhoea Medication"
308,308,Antibiotics and Dietary supplement
309,309,"Antacid, Proton-Pump inhibitor, and Diarrhoea Medication"
310,310,Consult Doctor Immediately
311,311,Emergency surgery to repair the hole
313,313,Antiviral drug
314,314,Topical anti-tumor medication
315,315,Anti-Diabetic medication and Insulin
316,316,Nifedipine
317,317,Anti-Parasite and Antibiotics
318,318,Topical antiseptic
319,319,Glaucoma medication and Beta blocker
320,320,Radioactive iodine therapy
321,321,"Analgesic, Uric acid reducer, Nonsteroidal anti-Inflammatory drug, Anti-Inflammatory, and Steroid"
322,322,Blood transfusion
323,323,Analgesic and Nonsteroidal anti-Inflammatory drug
324,324,Stretching
325,325,heals on its own
326,326,"rest, ice, compression, and elevation"
327,327,Analgesic and Nonsteroidal anti-Inflammatory drug
328,328,No treatment or medication
329,329,Diuretic
330,330,Diuretic
331,331,"Aspirin, Ibuprofen, acetaminophen"
332,332,Cochlear implant and Hearing aid
333,333,"Antiarrhythmic agent, Calcium channel blocker, Beta blocker, and Dietary supplement"
334,334,Heals on its own
335,335,Move to a cooler environment
336,336,"Menthol, Ice pack, and Lanolin"
337,337,cooling body to a normal temperature
338,338,Anti Inflammatory
339,339,"rest, ice, compression, and elevation"
340,340,Clotting promoter
341,341,Consult Doctor
342,342,Emergency Consult Doctor
343,343,"Steroid, Anaesthetic, and Dietary supplement"
344,344,After bleeding stops apply antibiotic ointment
345,345,"Steroid, Immunosuppressive drug, and Blood transfusion"
346,346,Consult Doctor
347,347,lamivudine and adefovir dipivoxil
348,348,Consult Doctor
349,349,Laparoscopic surgery and Hernia repair
350,350,Nonsteroidal anti-Inflammatory drug
351,351,Antiviral drug
352,352,Avoid hot beverages and use pain relievers
353,353,Consult Doctor
354,354,Proton-Pump inhibitor and Antacid
356,356,"Hip replacement, Surgery to connect broken bones (Internal fixation), and Arthroplasty"
357,357,Bowel resection
358,358,Warm compress
360,360,immobilization followed by early motion
361,361,Monitoring for changes or improvement
362,362,Dietary supplement and Antihistamine
363,363,"Calcium, Insulin administered with glucos"
364,364,"ACE inhibitor, Diuretic, Beta blocker, Antihypertensive drug, Calcium channel blocker, and Vasodilator"
365,365,"Labetalol, Nicardipine, Esmolol"
367,367,Antithyroid agent and Beta blocker
368,368,Beta blocker and Antihypertensive drug
369,369,Slow your breathing
370,370,Steroid eye drops
371,371,"Dietary supplement, Vitamin, and Antacid"
372,372,hormone
373,373,Discontinue medication that increase blood potassium levels
374,374,Dichlorphenamide
375,375,Diuretic
376,376,Use more salt and drink more water
377,377,Hormone
378,378,Give additional oxygen to blood
379,379,Consult Doctor Immediately
380,380,Consult Physiatrists
381,381,Tooth extraction
382,382,Analgesic
383,383,Antibiotic
384,384,Nonsteroidal anti-Inflammatory drug and Analgesic
385,385,"Nonsteroidal anti-Inflammatory drug, Anti-Inflammatory, Steroid, Immunosuppressive drug, Vitamin, and Antibiotics"
386,386,anti-inflammatory drug
387,387,"Decongestant, Cough medicine, Nonsteroidal anti-Inflammatory drug, Analgesic, and Antiviral drug"
388,388,T-Hernia Reapir Surgery
389,389,T-Drug Rehabilitation
391,391,T-take a good source of fast-acting carbohydrate immediately
392,392,Consult your doctor
393,393,T-Sugery for placing a stent in the artery
394,394,T- sigmoidoscopy or with a barium enema
395,395,T-NeuroSurgery
396,396,M- Ursodeoxycholic Acid
397,397,Consult your doctor
398,398,T-Drug Rehabilitation
399,399,T- a barium or water-soluble contrast enema or an air-contrast enema
400,400,Consult your doctor
401,401,M-Ioperamide
402,402,T-Light Therapy
403,403,Consult your doctor
404,404,M-Intravenous immunoglobulin (IVIG)
405,405,"M- levofloxacin, gatifloxacin, moxifloxacin, ofloxacin"
406,406,"T-Surgery (radical nephrectomy, simple nephrectomy, or partial nephrectomy)"
407,407,M-Anitseptic Cream and Proper Cleansing
408,408,T-Ice treatment ans rest
409,409,Consult your doctor
410,410,M-Anitseptic Cream and Proper Cleansing
411,411,T-Consult surgical expert
412,412,Consult your doctor
413,413,T-Decadron
414,414,"T-RICE (Rest, Ice, Compression, Elevation)"
415,415,Consult your doctor
416,416,M- ‎Dimercaprol
417,417,M- ‎Dimercaprol
418,418,M-Anitseptic Cream and Proper Cleansing
419,419,Consult your doctor
420,420,Consult your doctor
421,421,M-azithromycin
422,422,M-Liposomal amphotericin B and paromomycin 
423,423,"M-antibiotics, such as doxycycline or penicillin"
424,424,Consult your doctor
425,425,M- corticosteroids
426,426,T-Consult surgical expert
427,427,T-Consult surgical expert
428,428,T-Consult surgical expert
429,429,M-Anitseptic Cream and Proper Cleansing
430,430,T-Hot Cold Treatment
431,431,T-histopathology 
432,432,M-parenteral (intravenous) antibiotics followed by oral antibiotics
433,433,T-Chemotherapy
434,434,M-Orvaten
436,436,M- aspirin and ibuprofen
437,437,T-Consult surgical expert
439,439,T-chest physiotherapy treatments (CPT)
440,440,Consult your doctor
441,441,M-anti-inflammatory medications 
442,442,"M-Doxycycline, ‎amoxicillin‎, ‎cefuroxime"
443,443,M- acetaminophen (Tylenol) or ibuprofen (Advil)
444,444,Consult your doctor
445,445,T-Therapy
446,446,"T-Replacement of nutrients, electrolytes and fluid may be necessary."
447,447,M-chloroquine. atovaquone-proguanil (Malarone
448,448,"M-Dantrolene,"
449,449,"T-Splinting for 8 weeks, surgery "
450,450,heal within 7 to 10 days without treatment
451,451,T-Diet planning
452,452,T-Therapy
453,453,Consult your doctor
454,454,Consult your doctor
455,455,M-Antibiotioc Azithromycin
456,456,"T-surgical, potentially with a laparoscopic resection"
458,458,M-Anitibiotics
461,461,T-Vestibular rehabilitation
462,462,M-acute meningitis consists of promptly giving antibiotics 
463,463,T-Surgery 
464,464,No Treatment
465,465,T-Therapy
466,466,Consult your doctor
467,467,T-Therapy
468,468,T-Therapy
469,469,M-Triptans
470,470,Consult your doctor
471,471,Consult your doctor
472,472,T-Nonsteroidal anti-Inflammatory drug and Analgesic
473,473,T-evacuation of pregnancy
474,474,"T-Drinking enough fluids, getting sufficient rest"
475,475,M-anti-inflammatory medications 
476,476,T-Excersie
477,477,"T-Medication and therapy can slow ALS and reduce discomfort, but there's no cure."
478,478,Consult your doctor
479,479,T-Hot Cold Treatment
480,480,Consult your doctor
481,481,M- paromomycin 
482,482,Consult your doctor
483,483,"T-Chemotherapy, Anti-Inflammatory, Immunosuppressive drug"
484,484,T-Consult surgical expert
485,485,T-Good Education
486,486,T-Good Education
488,488,"T- surgical removal of the thymus, plasmapheresis"
490,490,M-azithromycin and protection
491,491,T-Myelodysplastic syndromebone marrow failure
492,492,"T-Blood Thinners, Heart Medication, Narcotic, Beta blocker, Statin, and ACE inhibitor"
493,493,"T-implantable cardiac defibrillator, heart transplant"
494,494,"T- Drug therapy, physical therapy, bracing for support, surgery, and massage "
495,495,M-Prednisone
496,496,M-over-the-counter pain relievers and antibiotics
497,497,M-prophylactic use of antibiotics
498,498,T-doesn’t need treatment
499,499,Consult your doctor
500,500,M-anti-inflammatory medications 
501,501,T-Counselling and Support Group Thearpy
502,502,T-Drug Rehabilitation
503,503,T-Drug Rehabilitation
504,504,T-Surgery and Radiation Therapy
505,505,T-Surgery 
506,506,"M-Flonase, Veramyst"
507,507,T-cauterization or packing
508,508,T-Radiation Therapy and Chemotherapy
509,509,T-Heat therapy and NSAIDS
510,510,M-Prnciliin Antibiotics or Amputation Surgery
511,511,M-ceftriaxone
512,512,Consult your doctor
513,513,T-Radiation Therapy or Surgery
514,514,T-Catheterization
515,515,Consult your doctor
516,516,No Treatment
517,517,M-antidiarrheal medications and electrolyte
519,519,T-Reduction (forearm into a palms down position with straitening at the elbow)
520,520,"T-Therapies,Support group, Cognitive behavioral therapy, Aversion therapy, "
522,522,T-Consult Psychiatry Help
523,523,Consult your doctor
524,524,"T-intravenous (IV) steroids, oral steroids or placebo"
525,525,"M-Antifungal, Topical antiseptic, and Dietary supplement"
526,526,"M-Anaesthetic, Steroid, and Anti-Inflammatory"
527,527,M-antibiotics
528,528,T-Surgery 
529,529,T-Surhery
530,530,M-Antibiotics
531,531,"T-Chemoterapy,Radiation Therapy"
532,532,T-Surgery 
533,533,T-arthroscopic drilling of intact lesions
534,534,T-Surgery 
535,535,Consult your doctor
536,536,Consult your doctor
537,537,M-Antibiotics
538,538,"T-surgery, chemotherapy, radiation therapy"
539,539,T-Laparoscopy
540,540,T-Lapratomy
541,541,"T-Therapies,Support group, Cognitive behavioral therapy, Aversion therapy, "
542,542,"T-Therapies,Support group, Cognitive behavioral therapy, Aversion therapy, "
543,543,T- lumpectomy or mastectomy
544,544,T-Surgery 
545,545,T-Chemothaerapy and Surgery 
546,546,M- IV fluids and pain medications 
547,547,"T- medication, endoscopic therapies, or surgery."
548,548,"T-Therapies,Support group, Cognitive behavioral therapy, Aversion therapy, "
549,549,Consult your doctor
550,550,Consult your doctor
551,551,"M-Dopamine promoter, Antidepressant, Cognition-enhancing medication, and Anti-Tremor"
552,552,Consult your doctor
553,553,T- radiation and chemotherapy.
554,554,T-Physical Theraphy
555,555,T-Surgery 
556,556,T-Drug Rehabilitation
557,557,M-Antiobiotic
558,558,T-Topical anti-tumor medication and Chemotherapy
560,560,No Treatment
561,561,T-Surgery 
562,562,Consult your doctor
563,563,M- amoxicillin and dicloxacillin
564,564,T-Surgery 
565,565,M-carbamazepine
566,566,Consult your doctor
567,567,T-Antibiotics
568,568,T-Acute tonsillectomy 
569,569,Therapy
570,570,M-carbamates to protect AChE from inhibition by OP compounds
571,571,T- surgery to resect the diverticulum and incise the cricopharyngeus muscle
572,572,"M-Penicillin antibiotic, Nonsteroidal anti-Inflammatory drug"
573,573,M-Beta blocker and Antihypertensive drug
574,574,"T-Therapies,Support group, Cognitive behavioral therapy, Aversion therapy, "
575,575,T-dieting
576,576,T-Transsphenoidal surgery
577,577,M-Lubricants
578,578,Consult your doctor
579,579,T-blood transfusion or emergency hysterectomy
580,580,M-Antibiotics such as streptomycin
581,581,"T- ‎Salicylic acid‎, ‎cryotherapy‎, surgical"
582,582,T-Surgery 
583,583,Consult your doctor
584,584,T-Surgery 
585,585,M-Antibiotics and Penicillin antibiotic
586,586,T-Oxygen therapy and Monitoring for changes or improvement
587,587,"T-Clear the airway and let breathe, call emergency"
588,588,Consult your doctor
589,589,M-ACE inhibitor
590,590,"M-Clomiphene (Clomid),Letrozole (Femara)"
591,591,M- hydroxyurea (Hydrea)
592,592,Consult your doctor
593,593,Consult your doctor
594,594,M-loratadine-pseudoephedrine (Claritin)
595,595,"T-Cognitive behavioral therapy, Eye movement desensitization"
596,596,Consult your doctor
597,597,M-Droxidopa (Northera)
599,599,Consult your doctor
600,600,Consult your doctor
601,601,Therapy
602,602,T-Ice Pack
603,603,T-Ischemic: Removal of blood
604,604,Therapy
605,605,Consult your doctor
606,606,Consult your doctor
607,607,"T-‎Heating pad, medication"
608,608,"M-Nitrates,Statin"
609,609,T-Radiation Therapy and Chemotherapy
611,611,Consult your doctor
612,612,M-Steroids
613,613,M-nonsteroidal anti-inflammatory drugs or corticosteroids
614,614,"T-Counselling, medications"
615,615,"T-Counselling, medications"
616,616,"T-Reducers,Morphine and Heart Medications"
617,617,M-Blood Thinners
618,618,M-pirfenidone (Esbriet) and nintedanib (Ofev)
619,619,"M-epoprostenol (Flolan, Veletri)"
620,620,Consult your doctor
621,621,"T-Clean the wound,Apply an antibiotic,Apply an antibiotic"
622,622,"T-Clean the wound,Apply an antibiotic,Apply an antibiotic"
623,623,"T-Clean the wound,Apply an antibiotic,Apply an antibiotic"
624,624,"T-Clean the wound,Apply an antibiotic,Apply an antibiotic"
625,625,"T-Clean the wound,Apply an antibiotic,Apply an antibiotic"
626,626,"T-Clean the wound,Apply an antibiotic,Apply an antibiotic"
627,627,"T-Clean the wound,Apply an antibiotic,Apply an antibiotic"
628,628,"T-Clean the wound,Apply an antibiotic,Apply an antibiotic"
629,629,"T-Clean the wound,Apply an antibiotic,Apply an antibiotic"
630,630,"T-Clean the wound,Apply an antibiotic,Apply an antibiotic"
631,631,"T-Clean the wound,Apply an antibiotic,Apply an antibiotic"
632,632,"T-Clean the wound,Apply an antibiotic,Apply an antibiotic"
633,633,"T-Clean the wound,Apply an antibiotic,Apply an antibiotic"
634,634,"T-Clean the wound,Apply an antibiotic,Apply an antibiotic"
635,635,"T-Clean the wound,Apply an antibiotic,Apply an antibiotic"
636,636,"T-Clean the wound,Apply an antibiotic,Apply an antibiotic"
637,637,T-Treatment includes antibiotics and often requires hospitalisation
638,638,M- Antibiotics
639,639,Consult your doctor
640,640,"T-Antidote, hemodialysis"
641,641,"T-sedation, drainage of cerebrospinal fluid, and osmotherapy"
642,642,Consult your doctor
643,643,M-Antibiotics
644,644,"T-Surgery,Lymph node dissection and Colectomy"
645,645,M- 5-aminosalicyclic acid (5ASA) or corticosteroids
646,646,Consult your doctor
647,647,"T-Behavior therapy,maybe Surgery"
648,648,Consult your doctor
649,649,"M- tetracycline. Analgesics, particularly NSAIDs"
650,650,Surgery
651,651,"T- angioplasty, often with stenting or surgery"
652,652,M-Calcium and insulin or dialysis
653,653,"T-Medications to manage blood pressure, blood sugar, and lower cholesterol, renal replacement therapy, kidney transplant"
654,654,"T-Anticoagulation,Percutaneous endovascular therapy"
655,655,Consult your doctor
656,656,T-Treatment of the underlying disorder
